problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
QBRANDY,0.000520644,0.40423342,0.404754064,solved inaccurate,0.004712847468575167,0.0014895998046463234,-0.4912070310092531,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QCAPRI,0.000630004,0.526113,0.5267430040000001,maximum iterations reached,7.458132862900694,57.84684267451507,-4246787.8040021155,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QE226,0.000652594,0.554719105,0.5553716989999999,maximum iterations reached,0.0027719039166477534,0.001910878137940411,-0.028257189708941876,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QETAMACR,0.003280392,2.4207220019999998,2.424002394,maximum iterations reached,0.005870801075666555,0.21845262095429416,-648.8651891282442,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QFFFFF80,0.002154835,1.6608643010000002,1.6630191360000002,maximum iterations reached,1.7154451316482497,0.005188202148881379,23278.19676169753,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QFORPLAN,0.00143215,0.629965777,0.631397927,maximum iterations reached,0.47793911149562046,4.3908426921526456,-28746478.899656646,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QGFRDXPN,0.000781275,0.882584541,0.883365816,maximum iterations reached,1.8639755066721,1.158678931730929,3108285.6167527013,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QGROW15,0.001046797,0.998024415,0.999071212,maximum iterations reached,178.5769353805182,0.005945126793645006,125.70290027931333,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QGROW22,0.00144712,1.441292419,1.442739539,maximum iterations reached,430.8681779133557,0.0031959859794684353,-31367.275600146502,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QGROW7,0.000567294,0.463002366,0.46356966,maximum iterations reached,196.10546289566247,0.0015282233027945624,15069.28265842516,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QISRAEL,0.000534034,0.343905857,0.344439891,solved inaccurate,0.07554951156620986,0.26418964703450437,-329.05556610222624,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QPCBLEND,0.000150781,0.008386527,0.008537308,solved,1.7008149216100954e-07,5.349182505702779e-07,-2.956614193839048e-07,39,1950,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QPCBOEI1,0.000978936,0.37105925,0.372038186,solved,0.003919463088605434,0.0001430442845886202,-22.836218913957993,286,14300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QPCBOEI2,0.000331563,0.226898022,0.227229585,maximum iterations reached,0.08022796085836784,0.06339879736993287,-137743.6890029184,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QPCSTAIR,0.000930026,0.130460335,0.131390361,solved,0.00010237805026627052,0.0037843808591614928,-7.003515044758612,81,4075,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QPILOTNO,0.005468557,3.757531717,3.763000274,maximum iterations reached,0.0950316915186609,0.43056444311708775,-6245.433313404433,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QPTEST,1.966e-05,2.152e-05,4.118e-05,solved,8.047248258959743e-12,2.9616127240864356e-10,8.702549791905766e-11,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QRECIPE,0.000165561,0.002189295,0.002354856,solved,1.611889857144888e-06,1.0305399223038691e-07,3.145500653545241e-05,6,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QSC205,0.000208122,0.001726471,0.001934593,solved,7.788992756419032e-08,4.933837909918036e-07,8.010140914039477e-07,4,200,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QSCAGR25,0.000452653,0.433447218,0.43389987100000005,solved,0.0220901698076209,0.05167242062226913,-23.751426486996934,437,21850,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QSCAGR7,0.000162341,0.13409837,0.134260711,maximum iterations reached,0.016170499515730147,0.10021497108815006,-951.3520914468099,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
