iteration,prob_name,prim_res,dual_res,duality_gap,restart
195,AUG2DCQP,3.640e+00,1.227e+00,-4.014e+05,0
196,AUG2DCQP,3.628e+00,1.302e+00,-4.001e+05,0
197,AUG2DCQP,3.626e+00,1.409e+00,-3.988e+05,0
198,AUG2DCQP,3.614e+00,1.503e+00,-3.976e+05,0
199,AUG2DCQP,3.608e+00,1.607e+00,-3.964e+05,0
200,AUG2DCQP,3.602e+00,1.663e+00,-3.951e+05,0
201,AUG2DCQP,3.595e+00,1.781e+00,-3.939e+05,0
202,AUG2DCQP,3.586e+00,1.819e+00,-3.927e+05,0
203,AUG2DCQP,3.576e+00,1.917e+00,-3.915e+05,0
204,AUG2DCQP,3.567e+00,2.015e+00,-3.903e+05,0
205,AUG2DCQP,3.562e+00,2.112e+00,-3.890e+05,0
206,AUG2DCQP,3.555e+00,2.287e+00,-3.877e+05,0
207,AUG2DCQP,3.535e+00,2.530e+00,-3.864e+05,0
208,AUG2DCQP,3.530e+00,2.679e+00,-3.851e+05,0
209,AUG2DCQP,3.517e+00,2.882e+00,-3.838e+05,0
210,AUG2DCQP,3.514e+00,3.001e+00,-3.824e+05,0
211,AUG2DCQP,3.500e+00,3.171e+00,-3.810e+05,0
212,AUG2DCQP,3.491e+00,3.265e+00,-3.795e+05,0
213,AUG2DCQP,3.466e+00,3.408e+00,-3.781e+05,0
214,AUG2DCQP,3.447e+00,3.508e+00,-3.766e+05,0
215,AUG2DCQP,3.435e+00,3.666e+00,-3.752e+05,0
216,AUG2DCQP,3.422e+00,3.781e+00,-3.739e+05,0
217,AUG2DCQP,3.414e+00,3.915e+00,-3.727e+05,0
218,AUG2DCQP,3.404e+00,4.097e+00,-3.715e+05,0
219,AUG2DCQP,3.397e+00,4.204e+00,-3.704e+05,0
220,AUG2DCQP,3.390e+00,4.359e+00,-3.694e+05,0
221,AUG2DCQP,3.383e+00,4.443e+00,-3.685e+05,0
222,AUG2DCQP,3.377e+00,4.573e+00,-3.676e+05,0
223,AUG2DCQP,3.370e+00,4.637e+00,-3.668e+05,0
224,AUG2DCQP,3.365e+00,4.775e+00,-3.660e+05,0
225,AUG2DCQP,3.359e+00,4.881e+00,-3.653e+05,0
226,AUG2DCQP,3.355e+00,5.030e+00,-3.647e+05,0
227,AUG2DCQP,3.348e+00,5.113e+00,-3.641e+05,0
228,AUG2DCQP,3.341e+00,5.238e+00,-3.636e+05,0
229,AUG2DCQP,3.327e+00,5.302e+00,-3.631e+05,0
230,AUG2DCQP,3.329e+00,5.404e+00,-3.626e+05,0
231,AUG2DCQP,3.314e+00,5.449e+00,-3.621e+05,0
232,AUG2DCQP,3.318e+00,5.531e+00,-3.617e+05,0
233,AUG2DCQP,3.306e+00,5.557e+00,-3.613e+05,0
234,AUG2DCQP,3.308e+00,5.620e+00,-3.609e+05,0
235,AUG2DCQP,3.298e+00,5.629e+00,-3.606e+05,0
236,AUG2DCQP,3.299e+00,5.675e+00,-3.602e+05,0
237,AUG2DCQP,3.291e+00,5.669e+00,-3.600e+05,0
238,AUG2DCQP,3.286e+00,5.699e+00,-3.597e+05,0
239,AUG2DCQP,3.276e+00,5.679e+00,-3.594e+05,0
240,AUG2DCQP,3.274e+00,5.694e+00,-3.592e+05,0
241,AUG2DCQP,3.266e+00,5.662e+00,-3.590e+05,0
242,AUG2DCQP,3.265e+00,5.663e+00,-3.587e+05,0
243,AUG2DCQP,3.249e+00,5.619e+00,-3.585e+05,0
244,AUG2DCQP,3.250e+00,5.606e+00,-3.583e+05,0
245,AUG2DCQP,3.239e+00,5.551e+00,-3.581e+05,0
246,AUG2DCQP,3.240e+00,5.527e+00,-3.578e+05,0
247,AUG2DCQP,3.231e+00,5.510e+00,-3.576e+05,0
248,AUG2DCQP,3.232e+00,5.511e+00,-3.573e+05,0
249,AUG2DCQP,3.224e+00,5.545e+00,-3.571e+05,0
250,AUG2DCQP,3.224e+00,5.534e+00,-3.568e+05,0
251,AUG2DCQP,3.217e+00,5.556e+00,-3.566e+05,0
252,AUG2DCQP,3.210e+00,5.537e+00,-3.563e+05,0
253,AUG2DCQP,3.206e+00,5.544e+00,-3.559e+05,0
254,AUG2DCQP,3.201e+00,5.512e+00,-3.556e+05,0
255,AUG2DCQP,3.197e+00,5.509e+00,-3.552e+05,0
256,AUG2DCQP,3.194e+00,5.466e+00,-3.548e+05,0
257,AUG2DCQP,3.191e+00,5.454e+00,-3.544e+05,0
258,AUG2DCQP,3.173e+00,5.403e+00,-3.540e+05,0
259,AUG2DCQP,3.168e+00,5.380e+00,-3.535e+05,0
260,AUG2DCQP,3.161e+00,5.320e+00,-3.530e+05,0
261,AUG2DCQP,3.156e+00,5.292e+00,-3.525e+05,0
262,AUG2DCQP,3.142e+00,5.228e+00,-3.519e+05,0
263,AUG2DCQP,3.134e+00,5.193e+00,-3.513e+05,0
264,AUG2DCQP,3.132e+00,5.122e+00,-3.506e+05,0
265,AUG2DCQP,3.123e+00,5.081e+00,-3.499e+05,0
266,AUG2DCQP,3.125e+00,5.005e+00,-3.492e+05,0
267,AUG2DCQP,3.116e+00,4.958e+00,-3.484e+05,0
268,AUG2DCQP,3.119e+00,4.879e+00,-3.477e+05,0
269,AUG2DCQP,3.109e+00,4.825e+00,-3.468e+05,0
270,AUG2DCQP,3.109e+00,4.745e+00,-3.460e+05,0
271,AUG2DCQP,3.097e+00,4.678e+00,-3.451e+05,0
272,AUG2DCQP,3.090e+00,4.612e+00,-3.441e+05,0
273,AUG2DCQP,3.066e+00,4.485e+00,-3.432e+05,0
274,AUG2DCQP,3.046e+00,4.319e+00,-3.422e+05,0
275,AUG2DCQP,3.039e+00,4.215e+00,-3.412e+05,0
276,AUG2DCQP,3.027e+00,4.076e+00,-3.403e+05,0
277,AUG2DCQP,3.023e+00,4.174e+00,-3.394e+05,0
278,AUG2DCQP,3.014e+00,4.334e+00,-3.386e+05,0
279,AUG2DCQP,3.011e+00,4.464e+00,-3.378e+05,0
280,AUG2DCQP,3.004e+00,4.609e+00,-3.371e+05,0
281,AUG2DCQP,3.001e+00,4.724e+00,-3.364e+05,0
282,AUG2DCQP,2.995e+00,4.854e+00,-3.358e+05,0
283,AUG2DCQP,2.992e+00,4.956e+00,-3.351e+05,0
284,AUG2DCQP,2.987e+00,5.071e+00,-3.346e+05,0
285,AUG2DCQP,2.985e+00,5.166e+00,-3.341e+05,0
286,AUG2DCQP,2.980e+00,5.297e+00,-3.336e+05,0
287,AUG2DCQP,2.978e+00,5.440e+00,-3.331e+05,0
288,AUG2DCQP,2.974e+00,5.609e+00,-3.327e+05,0
289,AUG2DCQP,2.971e+00,5.782e+00,-3.324e+05,0
290,AUG2DCQP,2.968e+00,5.967e+00,-3.320e+05,0
291,AUG2DCQP,2.965e+00,6.119e+00,-3.317e+05,0
292,AUG2DCQP,2.962e+00,6.283e+00,-3.314e+05,0
293,AUG2DCQP,2.957e+00,4.903e-01,-3.307e+05,1
294,AUG2DCQP,2.925e+00,3.659e-01,-3.296e+05,0
295,AUG2DCQP,2.904e+00,5.872e-01,-3.274e+05,0
296,AUG2DCQP,2.882e+00,4.200e-01,-3.253e+05,0
297,AUG2DCQP,2.875e+00,7.685e-01,-3.236e+05,0
298,AUG2DCQP,2.860e+00,5.335e-01,-3.219e+05,0
299,AUG2DCQP,2.855e+00,7.290e-01,-3.204e+05,0
300,AUG2DCQP,2.845e+00,5.132e-01,-3.190e+05,0
301,AUG2DCQP,2.840e+00,6.514e-01,-3.177e+05,0
302,AUG2DCQP,2.832e+00,4.645e-01,-3.164e+05,0
303,AUG2DCQP,2.827e+00,5.752e-01,-3.153e+05,0
304,AUG2DCQP,2.821e+00,4.140e-01,-3.141e+05,0
305,AUG2DCQP,2.816e+00,5.088e-01,-3.131e+05,0
306,AUG2DCQP,2.811e+00,3.688e-01,-3.121e+05,0
307,AUG2DCQP,2.806e+00,4.528e-01,-3.112e+05,0
308,AUG2DCQP,2.802e+00,3.577e-01,-3.104e+05,0
309,AUG2DCQP,2.798e+00,4.061e-01,-3.096e+05,0
310,AUG2DCQP,2.794e+00,3.789e-01,-3.088e+05,0
311,AUG2DCQP,2.790e+00,3.724e-01,-3.081e+05,0
312,AUG2DCQP,2.787e+00,3.979e-01,-3.074e+05,0
313,AUG2DCQP,2.783e+00,3.919e-01,-3.068e+05,0
314,AUG2DCQP,2.780e+00,4.120e-01,-3.062e+05,0
315,AUG2DCQP,2.771e+00,4.041e-01,-3.056e+05,0
316,AUG2DCQP,2.767e+00,4.200e-01,-3.051e+05,0
317,AUG2DCQP,2.754e+00,4.160e-01,-3.046e+05,0
318,AUG2DCQP,2.750e+00,4.528e-01,-3.041e+05,0
319,AUG2DCQP,2.742e+00,4.721e-01,-3.037e+05,0
320,AUG2DCQP,2.739e+00,5.237e-01,-3.032e+05,0
321,AUG2DCQP,2.733e+00,5.393e-01,-3.028e+05,0
322,AUG2DCQP,2.730e+00,5.824e-01,-3.024e+05,0
323,AUG2DCQP,2.726e+00,5.936e-01,-3.020e+05,0
324,AUG2DCQP,2.723e+00,6.302e-01,-3.017e+05,0
325,AUG2DCQP,2.719e+00,6.379e-01,-3.013e+05,0
326,AUG2DCQP,2.716e+00,6.692e-01,-3.009e+05,0
327,AUG2DCQP,2.713e+00,6.740e-01,-3.006e+05,0
328,AUG2DCQP,2.711e+00,7.010e-01,-3.003e+05,0
329,AUG2DCQP,2.708e+00,7.032e-01,-3.000e+05,0
330,AUG2DCQP,2.703e+00,7.903e-01,-2.996e+05,0
331,AUG2DCQP,2.692e+00,8.504e-01,-2.993e+05,0
332,AUG2DCQP,2.694e+00,9.388e-01,-2.990e+05,0
333,AUG2DCQP,2.683e+00,9.887e-01,-2.987e+05,0
334,AUG2DCQP,2.687e+00,1.065e+00,-2.983e+05,0
335,AUG2DCQP,2.678e+00,1.107e+00,-2.980e+05,0
336,AUG2DCQP,2.681e+00,1.173e+00,-2.977e+05,0
337,AUG2DCQP,2.673e+00,1.208e+00,-2.973e+05,0
338,AUG2DCQP,2.675e+00,1.266e+00,-2.970e+05,0
339,AUG2DCQP,2.648e+00,1.295e+00,-2.966e+05,0
340,AUG2DCQP,2.659e+00,1.346e+00,-2.962e+05,0
341,AUG2DCQP,2.638e+00,1.400e+00,-2.958e+05,0
342,AUG2DCQP,2.646e+00,1.448e+00,-2.954e+05,0
343,AUG2DCQP,2.622e+00,1.518e+00,-2.950e+05,0
344,AUG2DCQP,2.638e+00,1.558e+00,-2.946e+05,0
345,AUG2DCQP,2.615e+00,1.621e+00,-2.941e+05,0
346,AUG2DCQP,2.631e+00,1.654e+00,-2.937e+05,0
347,AUG2DCQP,2.611e+00,1.709e+00,-2.932e+05,0
348,AUG2DCQP,2.626e+00,1.736e+00,-2.927e+05,0
