problem name,setup time,solve time,run time,status,primal residual,dual residual,duality gap,restart,iterations,task_id,restart_type,alpha,rho_is_vec,adaptive_rho_tolerance_greater,adaptive_rho_tolerance_less,rho_custom_condition,rho_custom_tolerance,adapt_rho_on_restart,custom_average_rest,beta,ini_rest_len,lambd,xi,vector_rho_in_averaged_KKT,halpern_scheme,alpha_adjustment_reflected_halpern,adaptive_rest,restart_necessary,restart_artificial,halpern_step_first_inner_iter
PRIMALC1,0.000200821,0.005845207,0.006046028,dual infeasible,769540.8526135143,0.1514019064253359,-64742487.76937702,10,525,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMALC2,0.000162871,0.004332617,0.004495488000000001,dual infeasible,667228.8116398989,0.2969943531390955,-71926961.53580034,9,450,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMALC5,0.000216791,0.000990487,0.001207278,dual infeasible,100.25949776623985,0.9733233897738572,-33964.6596745449,1,75,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRIMALC8,0.000375173,0.191787377,0.19216255000000002,dual infeasible,88897.75089171052,0.04049195055810806,-16158564.320497064,168,8425,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Q25FV47,0.011475993,9.417498905,9.428974898,maximum iterations reached,0.011132130408604602,0.14408365428755399,-245.68919367739,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QADLITTL,0.000126391,0.008834587,0.008960978,solved,4.9785925364088644e-05,0.002542712532129078,0.2454649528203845,46,2300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QAFIRO,4.0801e-05,0.000246991,0.000287792,solved,5.12626852522402e-07,1.9060902478350155e-07,2.0818152185464456e-06,4,200,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QBANDM,0.000694115,0.449899049,0.450593164,solved,0.000821869789198544,0.00014599592599838957,-0.016878990700206487,399,19975,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QBEACONF,0.000621054,0.060832319,0.061453373000000006,solved,0.002453101428522192,0.0005313730336986503,0.07528050275777787,69,3450,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
QBORE3D,0.000425773,0.361428953,0.361854726,maximum iterations reached,0.5329362080543221,0.061893119805697276,4005.777937528692,500,25000,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
